"NAFO_Zones","ssp","mean_vulnerability","sd_vulnerability","mean_s_thermal_safety_margin","sd_s_thermal_safety_margin","mean_e_climate_velocity","sd_e_climate_velocity","mean_yr_climate_emergence","sd_yr_climate_emergence","n_yr_climate_emergence","ci_yr_climate_emergence","mean_e_time_climate_emergence","sd_e_time_climate_emergence","mean_ac_thermal_habitat_variability","sd_ac_thermal_habitat_variability"
"2JHG","SSP1-2.6",0.392662204100164,0.0353132718589376,0.0638181959523809,0.0356165795997275,0.00483481675032107,0.00967456681654514,2095.75168774529,0.983247011479616,609,0.0780926319576448,0.0696574180837438,0.00303321564749349,0.44744494371757,0.16558230556749
"2JHG","SSP5-8.5",0.414811347318555,0.0368099845455558,0.0638181959523809,0.0356165795997275,0.0387966513021346,0.0502012319565473,2095.20600098669,3.78713235404106,609,0.30078620086927,0.0716910462561576,0.0161760229795446,0.44744494371757,0.16558230556749
"3KL","SSP1-2.6",0.394370879315789,0.0434099461969388,0.460321984511513,0.268931599559851,0.0113508089986928,0.0134037663757946,2095.80808090525,0,608,0,0.069483451,0,0.668170565217105,0.122174256401476
"3KL","SSP5-8.5",0.419993921763158,0.0440373548679732,0.460321984511513,0.268931599559851,0.100338097064145,0.105059260071005,2091.0549575177,8.03996608511373,608,0.639084814843439,0.0846476229243421,0.0280268539157484,0.668170565217105,0.122174256401476
"3NOPs","SSP1-2.6",0.461772804724599,0.0290717553405649,0.994876696240642,0.0269534144774155,0.0215684724530831,0.038105894900101,2069.46172961934,26.5295966061136,374,2.68875305380878,0.244153500299465,0.216872291992779,0.832179908066845,0.0329881576733881
"3NOPs","SSP5-8.5",0.496882194622995,0.0289141660663513,0.994876696240642,0.0269534144774155,0.0778101213163539,0.100630809695571,2051.85518283992,15.9580287386637,374,1.61733324260055,0.345975954786096,0.227003812392354,0.832179908066845,0.0329881576733881
"4RST","SSP1-2.6",0.473526777705463,0.0411088768391199,0.892832716375297,0.16793880002497,0.0374478783452381,0.0642819062246179,2070.41879605631,26.3798989000645,421,2.51992810470324,0.238722373365796,0.222537387319903,0.613056246206651,0.061601742552255
"4RST","SSP5-8.5",0.508672391648456,0.0478311423978343,0.892832716375297,0.16793880002497,0.0927485816595238,0.109955329366597,2052.14820412991,20.1300432469925,421,1.9229134243143,0.367903920147268,0.268329738175694,0.613056246206651,0.061601742552255
"4VW","SSP1-2.6",0.476297892446203,0.0339143623115212,1,0,0.0472945421013298,0.0947627177497459,2045.87520778135,24.6947280278047,316,2.7228064926327,0.469008852151899,0.289504806494352,0.769970960658228,0.0605189137222121
"4VW","SSP5-8.5",0.514661828208861,0.0346886006442236,1,0,0.0961872353816439,0.14750056905134,2035.14767931553,14.6834974789733,316,1.61898208497332,0.576563235791139,0.272238295303665,0.769970960658228,0.0605189137222121
"4X","SSP1-2.6",0.50890361123125,0.0350635675448897,0.88604544975625,0.206211860868687,0.0619858299559748,0.121624301102447,2024.29292929578,18.2254592197195,160,2.82406416430461,0.82477520334375,0.272822185643932,0.781688792225,0.0571223318329292
"4X","SSP5-8.5",0.5524516080125,0.0508006398309574,0.88604544975625,0.206211860868687,0.12391093963522,0.185745961395708,2020.61237373758,11.6227180370735,160,1.80095881835461,0.87599498648125,0.218402634080799,0.781688792225,0.0571223318329292
"5YZ6A","SSP1-2.6",0.534217480666667,0.032282046612381,0.95665352025,0.153465804713714,0.0451403325416667,0.101602546727594,2015.79966330051,3.70810946326785,24,1.48355276224733,0.979834489,0.0920505947586811,0.744845577125,0.057137495559811
"5YZ6A","SSP5-8.5",0.569583189458333,0.0309715872661251,0.95665352025,0.153465804713714,0.0758811144166667,0.111452715132974,2015.12626262631,0.618558016100179,24,0.247474747573104,0.996034892416667,0.0194249807088136,0.744845577125,0.057137495559811
