"NAFO_zone","mean_vulnerability","sd_vulnerability","mean_s_thermal_safety_margin","sd_s_thermal_safety_margin","mean_e_climate_velocity","sd_e_climate_velocity","mean_yr_climate_velocity","sd_yr_climate_velocity","mean_e_time_climate_emergence","sd_e_time_climate_emergence","mean_ac_thermal_habitat_availability","sd_ac_thermal_habitat_availability"
"2G",0.360127063251553,0.0357286434759015,0.0188249311614907,0.00595165404272831,0.0222359523098972,0.0419346289568084,0.0222359523098972,0.0419346289568084,2095.80808090525,0,0.396845739720497,0.161564418465588
"2H",0.354813228410628,0.0444986908112074,0.0350986402173913,0.0120540461504695,0.0129758436694653,0.0230980980265187,0.0129758436694653,0.0230980980265187,2095.3347485433,3.19927858850509,0.490545538618357,0.166552449916965
"2J",0.341940458475191,0.0374571764370699,0.0642197429389313,0.0186358147688271,0.027254807620229,0.0463521792890436,0.027254807620229,0.0463521792890436,2095.76181673603,0.647489824392539,0.56782634529771,0.135253393531009
"3K",0.332300210083333,0.0330563366482281,0.1797462869375,0.077573232574309,0.0552865793708411,0.0923887124783622,0.0552865793708411,0.0923887124783622,2095.75847773008,0.790905970042908,0.651235567223214,0.0906135644805992
"3L",0.360884361409247,0.0423731261086538,0.476286798804795,0.201312450885843,0.0530546196695205,0.0784312052907733,0.0530546196695205,0.0784312052907733,2094.3759513737,4.38481639353254,0.781953655787671,0.0567225876164796
"3N",0.429257756104478,0.0330359049060494,0.973753306328358,0.0742198958242735,0.0463973489925373,0.0710298150488848,0.0463973489925373,0.0710298150488848,2074.33966533644,19.8026471794848,0.859044448492537,0.00974674525135702
"3O",0.420976424349265,0.0285807867870994,0.970919439911765,0.0742032748927503,0.0273704556875,0.0285091241417296,0.0273704556875,0.0285091241417296,2063.15805111769,23.8907116785531,0.845652921544118,0.022751922382302
"3Pn",0.404629162615385,0.0341399480735894,0.859494072538462,0.100539008645113,0.157124455576923,0.113634969235827,0.157124455576923,0.113634969235827,2079.84071488228,15.3456099744356,0.845673034692308,0.00541123336096295
"3Ps",0.413740977592593,0.0379151300229856,0.924216593148148,0.132736150267392,0.0600345400186335,0.100316191318859,0.0600345400186335,0.100316191318859,2080.36039410765,16.4868172886048,0.850221132092593,0.0106363163683972
"4R",0.402797461493902,0.033045406051476,0.605525320426829,0.200888142099979,0.0481220844573171,0.0701722363277299,0.0481220844573171,0.0701722363277299,2082.23330872698,15.6184661863485,0.687888597853659,0.112434522272846
"4S",0.390213470158065,0.0310433894675411,0.592069818735484,0.154047897130583,0.0755890206168831,0.110533775967862,0.0755890206168831,0.110533775967862,2085.51808410887,12.4678233777754,0.708529595735484,0.0557916848459727
"4T",0.451408214206633,0.0530579086548738,0.894705155413265,0.176028106388358,0.0624510448290816,0.0857055814675483,0.0624510448290816,0.0857055814675483,2058.5322614056,23.3911253534569,0.731497361739796,0.0308070969656037
"4Vn",0.42898295556383,0.0429688664176183,0.99565643212766,0.0200546176982572,0.167013230978723,0.238159291764916,0.167013230978723,0.238159291764916,2071.41521599584,17.9742428822953,0.833939515297872,0.0266798212765835
"4Vs",0.412218610962963,0.0343308246025806,1,0,0.0749380254497325,0.0990992380310099,0.0749380254497325,0.0990992380310099,2067.02487841373,20.045671170288,0.851884001990741,0.0277683552839577
"4W",0.437489649147929,0.0305454613016113,1,0,0.0398290874619846,0.0679253519358642,0.0398290874619846,0.0679253519358642,2049.9530811127,23.347492151431,0.819890313159763,0.0541589839501692
"4X",0.455732421478788,0.0506603773809487,0.800276717884848,0.269152832926811,0.0904616482286585,0.157988166191855,0.0904616482286585,0.157988166191855,2033.12672176456,20.511356962985,0.806136896266667,0.0443754671452024
"5Y",0.460884365125,0.0676294729280928,0.51366637975,0.220270008422977,0.2134467685,0.201673682644796,0.2134467685,0.201673682644796,2027.75252524488,10.6069194918249,0.7843723275,0.0238563503847399
"5Ze",0.49749030505,0.0345403136767155,1,0,0.029923514475,0.0254324257493576,0.029923514475,0.0254324257493576,2016.86868687045,4.77930224494849,0.78134116365,0.0435320624379275
