"NAFO_Zones","ssp","most_frequent_overall_risk","most_frequent_s_thermal_safety_margin_risk","most_frequent_e_climate_velocity_risk","most_frequent_e_time_of_climate_emergence_risk","most_frequent_ac_thermal_habitat_variability_risk"
"2JHG","SSP1-2.6","Moderate","Low","Low","Low","High"
"2JHG","SSP5-8.5","Moderate","Low","Low","Low","High"
"3KL","SSP1-2.6","Moderate","Moderate","Low","Low","Low"
"3KL","SSP5-8.5","Moderate","Moderate","Low","Low","Low"
"3NOPs","SSP1-2.6","High","Critical","Low","Low","Low"
"3NOPs","SSP5-8.5","High","Critical","Low","High","Low"
"4VW","SSP1-2.6","High","Critical","Low","Critical","Low"
"4VW","SSP5-8.5","High","Critical","Low","Critical","Low"
"4X","SSP1-2.6","High","Critical","Low","Critical","Low"
"4X","SSP5-8.5","High","Critical","Low","Critical","Low"
NA,"SSP1-2.6","High","Critical","Low","Low","Moderate"
NA,"SSP5-8.5","High","Critical","Low","High","Moderate"
