"ZONE","most_frequent_overall_risk","most_frequent_s_thermal_safety_margin_risk","most_frequent_e_climate_velocity_risk","most_frequent_e_time_of_climate_emergence_risk","most_frequent_ac_thermal_habitat_availability_risk"
"2G","Moderate","Low","Low","Low","Critical"
"2H","Moderate","Low","Low","Low","High"
"2J","Moderate","Low","Low","Low","High"
"3K","Moderate","Moderate","Low","Low","High"
"3L","High","Critical","Low","Low","Low"
"3N","High","Critical","Low","High","Low"
"3O","High","Critical","Low","Critical","Low"
"3Pn","High","Critical","Moderate","High","Low"
"3Ps","High","Critical","Low","High","Low"
"4R","High","Critical","Low","High","Moderate"
"4S","High","Critical","Low","Moderate","Moderate"
"4T","High","Critical","Low","Critical","Moderate"
"4Vn","High","Critical","Low","High","Low"
"4Vs","High","Critical","Low","Critical","Low"
"4W","High","Critical","Low","Critical","Low"
"4X","High","Critical","Low","Critical","Low"
"5Y","High","Critical","Low","Critical","Low"
"5Ze","High","Critical","Low","Critical","Low"
