"NAFO_Zones","ssp","Overall.Risk","count","percentage"
"2JHG","SSP1-2.6","High",75,12.3152709359606
"2JHG","SSP1-2.6","Moderate",534,87.6847290640394
"2JHG","SSP5-8.5","High",242,39.7372742200328
"2JHG","SSP5-8.5","Moderate",367,60.2627257799672
"3KL","SSP1-2.6","High",139,22.8618421052632
"3KL","SSP1-2.6","Moderate",469,77.1381578947368
"3KL","SSP5-8.5","High",206,33.8815789473684
"3KL","SSP5-8.5","Moderate",402,66.1184210526316
"3NOPs","SSP1-2.6","High",301,80.4812834224599
"3NOPs","SSP1-2.6","Moderate",73,19.5187165775401
"3NOPs","SSP5-8.5","High",370,98.9304812834225
"3NOPs","SSP5-8.5","Moderate",4,1.06951871657754
"4RST","SSP1-2.6","High",355,84.3230403800475
"4RST","SSP1-2.6","Moderate",66,15.6769596199525
"4RST","SSP5-8.5","Critical",1,0.237529691211401
"4RST","SSP5-8.5","High",419,99.5249406175772
"4RST","SSP5-8.5","Moderate",1,0.237529691211401
"4VW","SSP1-2.6","High",291,92.0886075949367
"4VW","SSP1-2.6","Moderate",25,7.91139240506329
"4VW","SSP5-8.5","High",316,100
"4X","SSP1-2.6","Critical",3,1.875
"4X","SSP1-2.6","High",157,98.125
"4X","SSP5-8.5","Critical",9,5.625
"4X","SSP5-8.5","High",151,94.375
"5YZ6A","SSP1-2.6","High",24,100
"5YZ6A","SSP5-8.5","Critical",1,4.16666666666667
"5YZ6A","SSP5-8.5","High",23,95.8333333333333
