"NAFO_Zones","ssp","Overall.Risk","count","percentage"
"2JHG","SSP1-2.6","Moderate",630,100
"2JHG","SSP5-8.5","High",49,7.77777777777778
"2JHG","SSP5-8.5","Moderate",581,92.2222222222222
"3KL","SSP1-2.6","Moderate",628,100
"3KL","SSP5-8.5","High",33,5.25477707006369
"3KL","SSP5-8.5","Moderate",595,94.7452229299363
"3NOPs","SSP1-2.6","High",66,17.4603174603175
"3NOPs","SSP1-2.6","Moderate",312,82.5396825396825
"3NOPs","SSP5-8.5","High",236,62.4338624338624
"3NOPs","SSP5-8.5","Moderate",142,37.5661375661376
"4RST","SSP1-2.6","High",136,31.4087759815243
"4RST","SSP1-2.6","Moderate",297,68.5912240184757
"4RST","SSP5-8.5","Critical",1,0.23094688221709
"4RST","SSP5-8.5","High",202,46.6512702078522
"4RST","SSP5-8.5","Moderate",230,53.1177829099307
"4VW","SSP1-2.6","High",79,24.3827160493827
"4VW","SSP1-2.6","Moderate",245,75.6172839506173
"4VW","SSP5-8.5","High",229,70.679012345679
"4VW","SSP5-8.5","Moderate",95,29.320987654321
"4X","SSP1-2.6","High",83,50.3030303030303
"4X","SSP1-2.6","Moderate",82,49.6969696969697
"4X","SSP5-8.5","Critical",5,3.03030303030303
"4X","SSP5-8.5","High",147,89.0909090909091
"4X","SSP5-8.5","Moderate",13,7.87878787878788
"5YZ6A","SSP1-2.6","High",19,79.1666666666667
"5YZ6A","SSP1-2.6","Moderate",5,20.8333333333333
"5YZ6A","SSP5-8.5","High",23,95.8333333333333
"5YZ6A","SSP5-8.5","Moderate",1,4.16666666666667
