"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"1","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.375,77.375,"SSP5-8.5","SST",0.008632951,0,0.013971289,0.517015778,0.954528864,0.245435877,0.231286617,0.162685465,0.069483451,0.824346653,0.376176342,0.245617479,0.134905005,0.254805546,0.398484206,0.372453815,0.378905981,0.322455666,0.442852144,0.53252976,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","High"
"2","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.125,77.375,"SSP5-8.5","SST",0.009146048,0,0.012518582,0.541466181,0.954528864,0.245435877,0.231286617,0.168700156,0.069483451,0.824346653,0.366710306,0.374607065,0.140782703,0.26717467,0.399987878,0.371194537,0.408786869,0.31131733,0.450885294,0.543615716,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","High","Low","High","High","High"
"3","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-74.875,77.375,"SSP5-8.5","SST",0.009752601,0,0.007918042,0.542603628,0.954528864,0.245435877,0.231286617,0.174828462,0.069483451,0.824346653,0.330245386,0.54177044,0.140068568,0.268390071,0.401519955,0.369932208,0.441461483,0.32010395,0.461402095,0.555138675,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Critical","Low","High","High","High"
"4","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.375,77.125,"SSP5-8.5","SST",0.010531603,0,0.026842602,0.521794033,0.954528864,0.245435877,0.231286617,0.176406493,0.069483451,0.824346653,0.366710306,0.169072909,0.13979206,0.254907286,0.401914463,0.369610575,0.35740333,0.334907395,0.436316091,0.525237886,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","High"
"5","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.125,77.125,"SSP5-8.5","SST",0.01087041,0,0.024167053,0.532888366,0.954528864,0.245435877,0.231286617,0.182250831,0.069483451,0.824346653,0.360319949,0.15802805,0.141981457,0.260791926,0.403375547,0.368431657,0.353044526,0.336955455,0.43564825,0.528769721,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Moderate","Low","High","High","High"
"6","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.875,76.875,"SSP5-8.5","SST",0.013757454,0,0.093318627,0.53648556,0.954528864,0.245435877,0.231286617,0.177821955,0.069483451,0.824346653,0.394716063,0.01611709,0.16089041,0.253752828,0.402268328,0.369323272,0.326165814,0.37188678,0.429876263,0.509184544,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","High","Low","Low","High","High","Moderate"
"7","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.625,76.875,"SSP5-8.5","SST",0.013930132,0,0.045138076,0.527520769,0.954528864,0.245435877,0.231286617,0.179553479,0.069483451,0.824346653,0.397201825,0.034589752,0.146647244,0.25461605,0.402701209,0.368973358,0.33140542,0.366979965,0.432394986,0.528604566,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","High","Low","Low","High","High","High"
"8","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.375,76.875,"SSP5-8.5","SST",0.014091139,0,0.114088481,0.527437628,0.954528864,0.245435877,0.231286617,0.185237378,0.069483451,0.824346653,0.377976526,0.062360355,0.163904312,0.247619802,0.404122184,0.367836716,0.333541746,0.358761776,0.427436712,0.489574584,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
"9","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.125,76.875,"SSP5-8.5","SST",0.014275139,0,0.038359041,0.537353518,0.954528864,0.245435877,0.231286617,0.187199689,0.069483451,0.824346653,0.3931693,0.077504516,0.147496925,0.260386014,0.404612762,0.367448589,0.34112598,0.355666822,0.433307317,0.526301653,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","High"
"10","Atlantic Halibut","Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus",-75.875,76.625,"SSP5-8.5","SST",0.015793303,0,0.156721822,0.542232045,0.954528864,0.245435877,0.231286617,0.184408593,0.069483451,0.824346653,0.366686756,0.021293023,0.178686793,0.252395767,0.403914988,0.368001305,0.320452471,0.369020677,0.425935586,0.484406203,"Low","Low","Low","Moderate","Low","High","Critical","Critical","Low","Critical","Moderate","Low","Low","High","High","Moderate"
